movie_id,genre
236,Animation
236,Adventure
236,Family
236,Comedy
237,Action
237,Thriller
237,Science Fiction
238,Drama
238,Music
239,Family
239,Animation
239,Adventure
239,Comedy
240,Action
240,Science Fiction
240,Adventure
241,Adventure
241,Fantasy
241,Action
242,Drama
242,Action
243,Adventure
243,Fantasy
244,Horror
244,Thriller
245,Drama
245,Crime
246,Animation
246,Family
246,Comedy
246,Adventure
247,Action
247,Thriller
248,Animation
248,Fantasy
248,Family
249,Comedy
249,Drama
250,Comedy
250,Fantasy
251,Family
251,Animation
251,Drama
252,Science Fiction
252,Adventure
252,Action
253,Mystery
253,Thriller
253,Crime
253,Horror
254,Action
254,Science Fiction
254,Adventure
255,Animation
255,Family
255,Fantasy
256,Drama
256,Action
256,Thriller
257,Adventure
257,Science Fiction
257,Action
258,Fantasy
258,Action
258,Adventure
259,Romance
259,Drama
259,Comedy
260,Drama
261,Animation
261,Adventure
261,Family
261,Fantasy
262,Animation
262,Action
262,Comedy
262,Family
262,Science Fiction
263,Action
263,Adventure
263,Science Fiction
263,Drama
264,Crime
264,Action
264,Thriller
265,History
265,Drama
266,Comedy
266,Drama
266,Romance
267,Animation
267,Family
268,Family
268,Animation
268,Adventure
268,Comedy
269,Animation
269,Comedy
269,Family
269,Adventure
269,Fantasy
270,Drama
270,Romance
270,Thriller
271,Action
271,Science Fiction
272,Action
272,Horror
272,Fantasy
273,Science Fiction
273,Action
273,Thriller
273,Adventure
274,Action
274,Comedy
274,Science Fiction
275,Horror
275,Thriller
276,Comedy
277,Action
277,Mystery
277,Science Fiction
277,Thriller
278,Adventure
278,Family
278,Fantasy
279,Animation
279,Fantasy
280,Action
280,Adventure
280,Science Fiction
281,Animation
281,Comedy
281,Family
281,Adventure
282,Thriller
282,Science Fiction
282,Drama
283,Action
283,Drama
284,Adventure
284,Animation
284,Comedy
284,Family
284,Fantasy
285,Action
285,Adventure
285,Science Fiction
286,Horror
287,Action
287,Adventure
288,Animation
288,Comedy
288,Family
289,Horror
289,Mystery
289,Drama
290,Action
290,Thriller
291,Drama
291,Comedy
291,Thriller
292,Action
292,Thriller
292,Drama
293,Adventure
293,Fantasy
293,Romance
294,Crime
294,Drama
294,Comedy
295,Animation
295,Comedy
295,Family
296,Action
296,Science Fiction
297,Action
297,Science Fiction
298,Drama
299,Thriller
299,Drama
299,Romance
300,Action
300,Adventure
300,Animation
300,Family
301,Drama
301,Action
301,Crime
301,Thriller
302,Family
302,Adventure
302,Animation
302,Comedy
302,Fantasy
303,Comedy
303,Adventure
303,Fantasy
303,Animation
303,Family
304,Animation
304,Fantasy
304,Action
304,Romance
304,Family
305,Action
305,Adventure
305,Science Fiction
305,Thriller
306,Action
306,Drama
306,Science Fiction
307,Action
307,Horror
307,Science Fiction
308,Fantasy
308,Drama
308,Romance
309,Action
309,Adventure
309,Fantasy
310,Horror
310,Thriller
311,Action
311,Adventure
311,Comedy
312,Adventure
312,Action
312,Science Fiction
313,Romance
313,Drama
314,Science Fiction
314,Action
314,Thriller
314,Horror
315,Fantasy
315,Action
315,Comedy
316,Drama
316,Romance
317,Action
317,Crime
317,Thriller
317,Drama
318,Horror
318,Thriller
319,Romance
319,Drama
320,Horror
321,Adventure
321,Fantasy
321,Animation
322,Action
322,Animation
323,Action
323,Science Fiction
324,Animation
324,Comedy
324,Action
324,Science Fiction
325,Horror
325,Thriller
325,Mystery
326,Action
326,War
327,Animation
327,Family
328,Drama
328,History
328,War
329,Action
329,Adventure
329,Animation
329,Family
330,Animation
330,Science Fiction
330,Action
331,Animation
331,Action
331,Fantasy
331,Science Fiction
332,Adventure
332,Action
332,Fantasy
333,Animation
333,Family
333,Adventure
333,Comedy
334,Action
334,Thriller
334,Adventure
335,Crime
336,Adventure
336,Fantasy
336,Comedy
337,Thriller
337,Action
337,Science Fiction
338,Animation
338,Family
338,Fantasy
339,Comedy
339,Crime
340,Science Fiction
340,Action
340,Adventure
340,Thriller
341,Animation
341,Science Fiction
341,Action
342,Animation
